tier_id,creator_id,tier_name,tier_rank,price_usd,description,is_active,created_at,archived_at
ti_00052,cr_0024,Elite,3,28.14,Elite tier - Access to exclusive content,True,2022-06-05 00:00:00,
ti_00053,cr_0025,Listener,1,3.18,Listener tier - Access to exclusive content,True,2022-06-09 00:00:00,
ti_00054,cr_0025,Premium,2,11.03,Premium tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00055,cr_0026,Viewer,1,4.65,Viewer tier - Access to exclusive content,True,2021-03-18 00:00:00,
ti_00056,cr_0026,Premium,2,10.69,Premium tier - Access to exclusive content,True,2021-03-18 00:00:00,
ti_00057,cr_0026,Benefactor,3,38.32,Benefactor tier - Access to exclusive content,True,2021-03-18 00:00:00,
ti_00058,cr_0027,Viewer,1,2.54,Viewer tier - Access to exclusive content,True,2021-04-17 00:00:00,
ti_00059,cr_0027,Member,2,10.92,Member tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00060,cr_0028,Reader,1,4.59,Reader tier - Access to exclusive content,True,2022-04-11 00:00:00,
ti_00061,cr_0028,Premium,2,13.32,Premium tier - Access to exclusive content,True,2022-04-11 00:00:00,
ti_00062,cr_0028,Hero,3,20.57,Hero tier - Access to exclusive content,True,2022-04-07 00:00:00,
ti_00063,cr_0029,Viewer,1,2.36,Viewer tier - Access to exclusive content,True,2022-07-07 00:00:00,
ti_00064,cr_0029,Premium,2,8.78,Premium tier - Access to exclusive content,True,2022-07-06 00:00:00,
ti_00065,cr_0029,Hero,3,38.23,Hero tier - Access to exclusive content,True,2022-07-10 00:00:00,
ti_00066,cr_0030,Listener,1,4.88,Listener tier - Access to exclusive content,True,2021-02-14 00:00:00,
ti_00067,cr_0030,Premium,2,10.32,Premium tier - Access to exclusive content,True,2021-02-15 00:00:00,
ti_00068,cr_0031,Fan,1,4.04,Fan tier - Access to exclusive content,True,2021-03-12 00:00:00,
ti_00069,cr_0031,Plus,2,8.63,Plus tier - Access to exclusive content,True,2021-03-14 00:00:00,
ti_00070,cr_0031,Elite,3,36.4,Elite tier - Access to exclusive content,True,2021-03-13 00:00:00,
ti_00071,cr_0032,Supporter,1,4.84,Supporter tier - Access to exclusive content,True,2021-11-11 00:00:00,
ti_00072,cr_0032,Member,2,7.94,Member tier - Access to exclusive content,True,2021-11-13 00:00:00,
ti_00073,cr_0033,Reader,1,4.08,Reader tier - Access to exclusive content,True,2022-07-09 00:00:00,
ti_00074,cr_0033,Insider,2,13.12,Insider tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00075,cr_0034,Supporter,1,4.85,Supporter tier - Access to exclusive content,True,2022-05-06 00:00:00,
ti_00076,cr_0034,Insider,2,11.89,Insider tier - Access to exclusive content,True,2022-05-06 00:00:00,
ti_00077,cr_0034,Hero,3,40.2,Hero tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00078,cr_0035,Fan,1,2.67,Fan tier - Access to exclusive content,True,2022-05-09 00:00:00,
ti_00079,cr_0035,VIP,2,14.05,VIP tier - Access to exclusive content,True,2022-05-06 00:00:00,
ti_00080,cr_0035,Elite,3,36.07,Elite tier - Access to exclusive content,True,2022-05-10 00:00:00,
ti_00081,cr_0036,Listener,1,4.53,Listener tier - Access to exclusive content,True,2021-12-10 00:00:00,
ti_00082,cr_0036,Premium,2,9.67,Premium tier - Access to exclusive content,True,2021-12-13 00:00:00,
ti_00083,cr_0036,Hero,3,33.54,Hero tier - Access to exclusive content,True,2021-12-09 00:00:00,
ti_00084,cr_0037,Listener,1,4.65,Listener tier - Access to exclusive content,True,2021-06-12 00:00:00,
ti_00085,cr_0037,Premium,2,7.61,Premium tier - Access to exclusive content,True,2021-06-11 00:00:00,
ti_00086,cr_0037,Champion,3,47.05,Champion tier - Access to exclusive content,True,2021-06-15 00:00:00,
ti_00087,cr_0038,Viewer,1,2.55,Viewer tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00088,cr_0038,Premium,2,7.53,Premium tier - Access to exclusive content,True,2022-07-05 00:00:00,
ti_00089,cr_0039,Reader,1,3.13,Reader tier - Access to exclusive content,True,2021-03-17 00:00:00,
ti_00090,cr_0039,Member,2,10.47,Member tier - Access to exclusive content,True,2021-03-14 00:00:00,
ti_00091,cr_0040,Listener,1,3.34,Listener tier - Access to exclusive content,True,2022-05-11 00:00:00,
ti_00092,cr_0040,Insider,2,12.83,Insider tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00093,cr_0041,Viewer,1,3.39,Viewer tier - Access to exclusive content,True,2021-02-12 00:00:00,
ti_00094,cr_0041,Insider,2,12.25,Insider tier - Access to exclusive content,True,2021-02-12 00:00:00,
ti_00095,cr_0042,Supporter,1,4.49,Supporter tier - Access to exclusive content,True,2021-05-11 00:00:00,
ti_00096,cr_0042,VIP,2,7.04,VIP tier - Access to exclusive content,True,2021-05-12 00:00:00,
ti_00097,cr_0043,Supporter,1,3.65,Supporter tier - Access to exclusive content,True,2022-07-08 00:00:00,
ti_00098,cr_0043,Plus,2,13.13,Plus tier - Access to exclusive content,True,2022-07-06 00:00:00,
ti_00099,cr_0043,Benefactor,3,43.46,Benefactor tier - Access to exclusive content,True,2022-07-10 00:00:00,
ti_00100,cr_0044,Supporter,1,3.55,Supporter tier - Access to exclusive content,True,2021-02-12 00:00:00,
ti_00101,cr_0044,VIP,2,12.37,VIP tier - Access to exclusive content,True,2021-02-14 00:00:00,
ti_00102,cr_0044,Patron,3,31.6,Patron tier - Access to exclusive content,True,2021-02-10 00:00:00,
ti_00103,cr_0045,Fan,1,3.17,Fan tier - Access to exclusive content,True,2022-07-05 00:00:00,
ti_00104,cr_0045,Insider,2,9.07,Insider tier - Access to exclusive content,True,2022-07-09 00:00:00,
ti_00105,cr_0046,Reader,1,4.67,Reader tier - Access to exclusive content,True,2022-06-09 00:00:00,
ti_00106,cr_0046,Plus,2,12.06,Plus tier - Access to exclusive content,True,2022-06-08 00:00:00,
ti_00107,cr_0047,Listener,1,4.15,Listener tier - Access to exclusive content,True,2021-03-12 00:00:00,
ti_00108,cr_0047,Insider,2,8.93,Insider tier - Access to exclusive content,True,2021-03-13 00:00:00,
ti_00109,cr_0048,Viewer,1,4.72,Viewer tier - Access to exclusive content,True,2021-08-11 00:00:00,
ti_00110,cr_0048,Premium,2,8.5,Premium tier - Access to exclusive content,True,2021-08-10 00:00:00,
ti_00111,cr_0049,Fan,1,3.15,Fan tier - Access to exclusive content,True,2021-12-13 00:00:00,
ti_00112,cr_0049,Premium,2,12.28,Premium tier - Access to exclusive content,True,2021-12-12 00:00:00,
ti_00113,cr_0050,Listener,1,2.79,Listener tier - Access to exclusive content,True,2021-01-16 00:00:00,
ti_00114,cr_0050,Member,2,8.8,Member tier - Access to exclusive content,True,2021-01-14 00:00:00,
ti_00115,cr_0051,Listener,1,2.84,Listener tier - Access to exclusive content,True,2021-08-12 00:00:00,
ti_00116,cr_0051,Plus,2,13.59,Plus tier - Access to exclusive content,True,2021-08-15 00:00:00,
ti_00117,cr_0052,Viewer,1,4.46,Viewer tier - Access to exclusive content,True,2021-04-12 00:00:00,
ti_00118,cr_0052,VIP,2,12.59,VIP tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00119,cr_0052,Elite,3,32.97,Elite tier - Access to exclusive content,True,2021-04-15 00:00:00,
ti_00120,cr_0053,Reader,1,2.1,Reader tier - Access to exclusive content,True,2022-03-09 00:00:00,
ti_00121,cr_0053,VIP,2,13.59,VIP tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00122,cr_0054,Listener,1,2.97,Listener tier - Access to exclusive content,True,2021-06-16 00:00:00,
ti_00123,cr_0054,Member,2,14.21,Member tier - Access to exclusive content,True,2021-06-15 00:00:00,
ti_00124,cr_0055,Supporter,1,4.24,Supporter tier - Access to exclusive content,True,2021-04-16 00:00:00,
ti_00125,cr_0055,Insider,2,12.65,Insider tier - Access to exclusive content,True,2021-04-14 00:00:00,
ti_00126,cr_0056,Listener,1,4.8,Listener tier - Access to exclusive content,True,2022-03-11 00:00:00,
ti_00127,cr_0056,Member,2,13.86,Member tier - Access to exclusive content,True,2022-03-09 00:00:00,
ti_00128,cr_0056,Benefactor,3,27.24,Benefactor tier - Access to exclusive content,True,2022-03-11 00:00:00,
ti_00129,cr_0057,Listener,1,2.07,Listener tier - Access to exclusive content,True,2022-03-11 00:00:00,
ti_00130,cr_0057,Insider,2,13.27,Insider tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00131,cr_0058,Listener,1,3.96,Listener tier - Access to exclusive content,True,2021-08-14 00:00:00,
ti_00132,cr_0058,Plus,2,7.12,Plus tier - Access to exclusive content,True,2021-08-09 00:00:00,
ti_00133,cr_0059,Listener,1,2.12,Listener tier - Access to exclusive content,True,2022-05-07 00:00:00,
ti_00134,cr_0059,Member,2,11.51,Member tier - Access to exclusive content,True,2022-05-10 00:00:00,
ti_00135,cr_0059,Hero,3,32.07,Hero tier - Access to exclusive content,True,2022-05-06 00:00:00,
ti_00136,cr_0060,Listener,1,3.91,Listener tier - Access to exclusive content,True,2021-06-12 00:00:00,
ti_00137,cr_0060,Member,2,12.41,Member tier - Access to exclusive content,True,2021-06-12 00:00:00,
ti_00138,cr_0061,Listener,1,3.71,Listener tier - Access to exclusive content,True,2021-10-13 00:00:00,
ti_00139,cr_0061,VIP,2,9.97,VIP tier - Access to exclusive content,True,2021-10-12 00:00:00,
ti_00140,cr_0062,Reader,1,3.41,Reader tier - Access to exclusive content,True,2021-07-13 00:00:00,
ti_00141,cr_0062,Premium,2,10.95,Premium tier - Access to exclusive content,True,2021-07-11 00:00:00,
ti_00142,cr_0063,Listener,1,3.78,Listener tier - Access to exclusive content,True,2022-05-08 00:00:00,
ti_00143,cr_0063,Insider,2,13.66,Insider tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00144,cr_0063,Hero,3,45.91,Hero tier - Access to exclusive content,True,2022-05-10 00:00:00,
ti_00145,cr_0064,Listener,1,2.16,Listener tier - Access to exclusive content,True,2022-03-13 00:00:00,
ti_00146,cr_0064,Plus,2,14.79,Plus tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00147,cr_0065,Viewer,1,3.91,Viewer tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00148,cr_0065,VIP,2,8.43,VIP tier - Access to exclusive content,True,2021-04-16 00:00:00,
ti_00149,cr_0066,Reader,1,4.0,Reader tier - Access to exclusive content,True,2021-01-16 00:00:00,
ti_00150,cr_0066,VIP,2,8.36,VIP tier - Access to exclusive content,True,2021-01-12 00:00:00,
ti_00151,cr_0067,Listener,1,3.83,Listener tier - Access to exclusive content,True,2021-04-17 00:00:00,
ti_00152,cr_0067,VIP,2,13.71,VIP tier - Access to exclusive content,True,2021-04-16 00:00:00,
ti_00153,cr_0067,Patron,3,47.31,Patron tier - Access to exclusive content,True,2021-04-12 00:00:00,
ti_00154,cr_0068,Reader,1,2.46,Reader tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00155,cr_0068,VIP,2,9.22,VIP tier - Access to exclusive content,True,2021-04-16 00:00:00,
ti_00156,cr_0069,Listener,1,3.78,Listener tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00157,cr_0069,Member,2,12.62,Member tier - Access to exclusive content,True,2022-03-08 00:00:00,
ti_00158,cr_0070,Viewer,1,3.82,Viewer tier - Access to exclusive content,True,2021-08-15 00:00:00,
ti_00159,cr_0070,Insider,2,14.06,Insider tier - Access to exclusive content,True,2021-08-15 00:00:00,
ti_00160,cr_0071,Listener,1,4.93,Listener tier - Access to exclusive content,True,2022-06-09 00:00:00,
ti_00161,cr_0071,Premium,2,13.4,Premium tier - Access to exclusive content,True,2022-06-07 00:00:00,
ti_00162,cr_0072,Supporter,1,2.65,Supporter tier - Access to exclusive content,True,2021-03-18 00:00:00,
ti_00163,cr_0072,Premium,2,11.82,Premium tier - Access to exclusive content,True,2021-03-18 00:00:00,
ti_00164,cr_0073,Viewer,1,2.19,Viewer tier - Access to exclusive content,True,2021-08-12 00:00:00,
ti_00165,cr_0073,VIP,2,7.54,VIP tier - Access to exclusive content,True,2021-08-09 00:00:00,
ti_00166,cr_0073,Champion,3,40.08,Champion tier - Access to exclusive content,True,2021-08-14 00:00:00,
ti_00167,cr_0074,Fan,1,3.66,Fan tier - Access to exclusive content,True,2021-07-11 00:00:00,
ti_00168,cr_0074,Plus,2,10.33,Plus tier - Access to exclusive content,True,2021-07-11 00:00:00,
ti_00169,cr_0075,Fan,1,2.17,Fan tier - Access to exclusive content,True,2022-01-09 00:00:00,
ti_00170,cr_0075,VIP,2,10.51,VIP tier - Access to exclusive content,True,2022-01-08 00:00:00,
ti_00171,cr_0076,Viewer,1,2.5,Viewer tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00172,cr_0076,Member,2,13.39,Member tier - Access to exclusive content,True,2022-07-10 00:00:00,
ti_00173,cr_0076,Champion,3,20.62,Champion tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00174,cr_0077,Reader,1,3.06,Reader tier - Access to exclusive content,True,2021-04-14 00:00:00,
ti_00175,cr_0077,VIP,2,8.68,VIP tier - Access to exclusive content,True,2021-04-17 00:00:00,
ti_00176,cr_0078,Fan,1,2.23,Fan tier - Access to exclusive content,True,2021-02-16 00:00:00,
ti_00177,cr_0078,VIP,2,9.42,VIP tier - Access to exclusive content,True,2021-02-15 00:00:00,
ti_00178,cr_0078,Benefactor,3,44.11,Benefactor tier - Access to exclusive content,True,2021-02-15 00:00:00,
ti_00179,cr_0079,Listener,1,2.91,Listener tier - Access to exclusive content,True,2021-04-14 00:00:00,
ti_00180,cr_0079,Premium,2,9.19,Premium tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00181,cr_0079,Champion,3,33.79,Champion tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00182,cr_0080,Fan,1,2.85,Fan tier - Access to exclusive content,True,2021-12-07 00:00:00,
ti_00183,cr_0080,Premium,2,8.53,Premium tier - Access to exclusive content,True,2021-12-08 00:00:00,
ti_00184,cr_0080,Elite,3,40.02,Elite tier - Access to exclusive content,True,2021-12-13 00:00:00,
ti_00185,cr_0081,Reader,1,2.13,Reader tier - Access to exclusive content,True,2022-03-07 00:00:00,
ti_00186,cr_0081,VIP,2,13.12,VIP tier - Access to exclusive content,True,2022-03-08 00:00:00,
ti_00187,cr_0082,Supporter,1,3.47,Supporter tier - Access to exclusive content,True,2021-07-16 00:00:00,
ti_00188,cr_0082,Insider,2,11.48,Insider tier - Access to exclusive content,True,2021-07-13 00:00:00,
ti_00189,cr_0083,Fan,1,4.58,Fan tier - Access to exclusive content,True,2021-10-14 00:00:00,
ti_00190,cr_0083,Insider,2,12.59,Insider tier - Access to exclusive content,True,2021-10-08 00:00:00,
ti_00191,cr_0084,Reader,1,4.71,Reader tier - Access to exclusive content,True,2022-07-05 00:00:00,
ti_00192,cr_0084,Insider,2,13.54,Insider tier - Access to exclusive content,True,2022-07-09 00:00:00,
ti_00193,cr_0085,Viewer,1,3.47,Viewer tier - Access to exclusive content,True,2021-03-15 00:00:00,
ti_00194,cr_0085,Premium,2,11.42,Premium tier - Access to exclusive content,True,2021-03-16 00:00:00,
ti_00195,cr_0086,Viewer,1,2.42,Viewer tier - Access to exclusive content,True,2021-03-16 00:00:00,
ti_00196,cr_0086,VIP,2,9.23,VIP tier - Access to exclusive content,True,2021-03-14 00:00:00,
ti_00197,cr_0087,Reader,1,4.48,Reader tier - Access to exclusive content,True,2021-10-13 00:00:00,
ti_00198,cr_0087,Premium,2,14.76,Premium tier - Access to exclusive content,True,2021-10-13 00:00:00,
ti_00199,cr_0088,Listener,1,4.39,Listener tier - Access to exclusive content,True,2021-07-12 00:00:00,
ti_00200,cr_0088,Insider,2,9.7,Insider tier - Access to exclusive content,True,2021-07-16 00:00:00,
ti_00201,cr_0089,Viewer,1,3.01,Viewer tier - Access to exclusive content,True,2022-01-06 00:00:00,
ti_00202,cr_0089,Member,2,7.2,Member tier - Access to exclusive content,True,2022-01-07 00:00:00,
ti_00203,cr_0090,Viewer,1,3.77,Viewer tier - Access to exclusive content,True,2021-08-13 00:00:00,
ti_00204,cr_0090,Plus,2,11.99,Plus tier - Access to exclusive content,True,2021-08-10 00:00:00,
ti_00205,cr_0091,Supporter,1,3.13,Supporter tier - Access to exclusive content,True,2021-05-16 00:00:00,
ti_00206,cr_0091,Premium,2,9.12,Premium tier - Access to exclusive content,True,2021-05-17 00:00:00,
ti_00207,cr_0092,Fan,1,2.88,Fan tier - Access to exclusive content,True,2022-06-07 00:00:00,
ti_00208,cr_0092,Insider,2,7.32,Insider tier - Access to exclusive content,True,2022-06-06 00:00:00,
ti_00209,cr_0093,Reader,1,3.77,Reader tier - Access to exclusive content,True,2022-02-05 00:00:00,
ti_00210,cr_0093,Member,2,13.18,Member tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00211,cr_0093,Champion,3,34.62,Champion tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00212,cr_0094,Fan,1,5.0,Fan tier - Access to exclusive content,True,2022-04-10 00:00:00,
ti_00213,cr_0094,Plus,2,12.66,Plus tier - Access to exclusive content,True,2022-04-10 00:00:00,
ti_00214,cr_0095,Supporter,1,4.29,Supporter tier - Access to exclusive content,True,2022-02-07 00:00:00,
ti_00215,cr_0095,Premium,2,11.92,Premium tier - Access to exclusive content,True,2022-02-08 00:00:00,
ti_00216,cr_0096,Viewer,1,3.5,Viewer tier - Access to exclusive content,True,2021-04-16 00:00:00,
ti_00217,cr_0096,VIP,2,11.41,VIP tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00218,cr_0097,Listener,1,2.48,Listener tier - Access to exclusive content,True,2022-05-08 00:00:00,
ti_00219,cr_0097,Premium,2,10.59,Premium tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00220,cr_0097,Benefactor,3,33.97,Benefactor tier - Access to exclusive content,True,2022-05-11 00:00:00,
ti_00221,cr_0098,Listener,1,2.57,Listener tier - Access to exclusive content,True,2022-02-10 00:00:00,
ti_00222,cr_0098,Insider,2,12.56,Insider tier - Access to exclusive content,True,2022-02-06 00:00:00,
ti_00223,cr_0098,Hero,3,31.76,Hero tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00224,cr_0099,Fan,1,4.32,Fan tier - Access to exclusive content,True,2021-07-14 00:00:00,
ti_00225,cr_0099,Plus,2,13.85,Plus tier - Access to exclusive content,True,2021-07-15 00:00:00,
ti_00226,cr_0100,Supporter,1,4.48,Supporter tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00227,cr_0100,Insider,2,8.88,Insider tier - Access to exclusive content,True,2021-04-11 00:00:00,
ti_00228,cr_0101,Listener,1,2.88,Listener tier - Access to exclusive content,True,2021-05-17 00:00:00,
ti_00229,cr_0101,Premium,2,9.12,Premium tier - Access to exclusive content,True,2021-05-16 00:00:00,
ti_00230,cr_0102,Fan,1,2.95,Fan tier - Access to exclusive content,True,2021-06-15 00:00:00,
ti_00231,cr_0102,Insider,2,14.58,Insider tier - Access to exclusive content,True,2021-06-13 00:00:00,
ti_00232,cr_0103,Listener,1,2.83,Listener tier - Access to exclusive content,True,2021-07-13 00:00:00,
ti_00233,cr_0103,VIP,2,14.71,VIP tier - Access to exclusive content,True,2021-07-11 00:00:00,
ti_00234,cr_0103,Elite,3,41.48,Elite tier - Access to exclusive content,True,2021-07-13 00:00:00,
ti_00235,cr_0104,Fan,1,4.97,Fan tier - Access to exclusive content,True,2021-10-11 00:00:00,
ti_00236,cr_0104,Insider,2,9.72,Insider tier - Access to exclusive content,True,2021-10-11 00:00:00,
ti_00237,cr_0105,Supporter,1,3.03,Supporter tier - Access to exclusive content,True,2021-07-16 00:00:00,
ti_00238,cr_0105,Plus,2,14.88,Plus tier - Access to exclusive content,True,2021-07-13 00:00:00,
ti_00239,cr_0106,Viewer,1,2.49,Viewer tier - Access to exclusive content,True,2021-05-17 00:00:00,
ti_00240,cr_0106,Member,2,8.2,Member tier - Access to exclusive content,True,2021-05-11 00:00:00,
ti_00241,cr_0107,Fan,1,2.57,Fan tier - Access to exclusive content,True,2022-03-07 00:00:00,
ti_00242,cr_0107,Plus,2,13.01,Plus tier - Access to exclusive content,True,2022-03-09 00:00:00,
ti_00243,cr_0107,Benefactor,3,47.13,Benefactor tier - Access to exclusive content,True,2022-03-09 00:00:00,
ti_00244,cr_0108,Listener,1,2.17,Listener tier - Access to exclusive content,True,2022-03-10 00:00:00,
ti_00245,cr_0108,VIP,2,13.92,VIP tier - Access to exclusive content,True,2022-03-08 00:00:00,
ti_00246,cr_0108,Champion,3,41.51,Champion tier - Access to exclusive content,True,2022-03-10 00:00:00,
ti_00247,cr_0109,Supporter,1,2.89,Supporter tier - Access to exclusive content,True,2021-09-13 00:00:00,
ti_00248,cr_0109,Insider,2,8.52,Insider tier - Access to exclusive content,True,2021-09-09 00:00:00,
ti_00249,cr_0109,Patron,3,38.11,Patron tier - Access to exclusive content,True,2021-09-08 00:00:00,
ti_00250,cr_0110,Reader,1,2.52,Reader tier - Access to exclusive content,True,2022-02-05 00:00:00,
ti_00251,cr_0110,Member,2,7.94,Member tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00252,cr_0110,Patron,3,48.5,Patron tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00253,cr_0111,Supporter,1,2.49,Supporter tier - Access to exclusive content,True,2022-02-06 00:00:00,
ti_00254,cr_0111,Premium,2,11.37,Premium tier - Access to exclusive content,True,2022-02-07 00:00:00,
ti_00255,cr_0112,Viewer,1,4.2,Viewer tier - Access to exclusive content,True,2021-08-11 00:00:00,
ti_00256,cr_0112,VIP,2,14.45,VIP tier - Access to exclusive content,True,2021-08-11 00:00:00,
ti_00257,cr_0113,Listener,1,3.97,Listener tier - Access to exclusive content,True,2021-08-10 00:00:00,
ti_00258,cr_0113,VIP,2,11.48,VIP tier - Access to exclusive content,True,2021-08-09 00:00:00,
ti_00259,cr_0114,Reader,1,2.76,Reader tier - Access to exclusive content,True,2021-07-11 00:00:00,
ti_00260,cr_0114,Member,2,11.61,Member tier - Access to exclusive content,True,2021-07-12 00:00:00,
ti_00261,cr_0115,Supporter,1,2.64,Supporter tier - Access to exclusive content,True,2022-06-07 00:00:00,
